sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;0-19;Amer-Indian-Eskimo;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Amer-Indian-Eskimo;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Amer-Indian-Eskimo;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Amer-Indian-Eskimo;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Amer-Indian-Eskimo;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Asian-Pac-Islander;Never-married;Secondary education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Prof-specialty;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Higher education;North America;Private;Sales;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Adm-clerical;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Handlers-cleaners;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Machine-op-inspct;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
Female;0-19;Black;Never-married;Secondary education;North America;Private;Other-service;<=50K
